artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
SOMI,DUMB DUMB,6dG2zPUOWXk3eMC7Hb3wh3,75,0.85,0.734,2,-6.415,1,0.0491,0.0221,0.000179,0.0728,0.406,103.027,149214,4
ENHYPEN,FEVER,0UzymivvUH5s8z4PeWZJaK,82,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,172107,4
LISA,LALISA,2KZ3sNqPogEyMUUH6A5HFy,86,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.000782,0.118,0.854,150.076,200690,4
SUSHI,Naruto Main Theme,4SWBuoXEtpFW0JfZTWgYkq,43,0.581,0.773,9,-5.588,0,0.0276,0.00258,0.00191,0.326,0.0977,104.97,137143,4
LISA,MONEY,45OX2jjEw1l7lOFJfDP9fv,86,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037,168228,4
Tippu,Poopol Poopol,50x8RkAW34F6YOGHGDChvp,46,0.685,0.355,5,-17.216,0,0.0614,0.455,0.0626,0.0477,0.493,103.025,116707,4
Doja Cat,You Right,7Me3GKpQyEsHwS9xnOrUgM,70,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4
Tippu,Venmathiye,1JVfJe7LQSePY6EyF1fBUX,54,0.837,0.351,11,-14.189,1,0.049,0.192,1.48e-06,0.35,0.466,124.009,326960,4
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),0FFsgUoFibYISzMxuGS61W,77,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,188893,4
Timmy,Maddy Maddy,50lD67gvkGiLgbHfA0Gysi,33,0.868,0.433,8,-13.443,1,0.0552,0.0282,0.0,0.0399,0.866,100.03,74547,4
Harish Raghavendra,Azhagiya Theeye,5omit41VEz7G9TjmCItCB2,47,0.823,0.465,7,-13.877,1,0.0445,0.0554,0.0,0.0675,0.957,102.989,355520,4
Tippu,Ooh Mama,6LeJHTwGBr3yWibsy2Iw9E,36,0.911,0.547,7,-14.536,1,0.108,0.0291,0.0,0.0337,0.551,107.908,279547,4
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,90,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
Unnikrishnan,Verenna (Ivan Yaro),1XTEmKvJNskIc72sfS4zNA,43,0.814,0.463,7,-14.498,0,0.0787,0.268,1.92e-05,0.139,0.656,97.991,324938,4
BIGBANG,FXXK IT,3lYvepDz6yYj29z7e4r5z0,62,0.716,0.763,0,-3.001,0,0.0945,0.147,0.0,0.271,0.575,90.101,231748,4
The Weeknd,Take My Breath,6OGogr19zPTM4BALXuMQpF,89,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,220196,4
Harish Raghavendra,Nenjai Poopol,7foXDAvMmPXL9C3NN7LVvZ,47,0.576,0.274,9,-13.531,0,0.0327,0.455,0.0,0.0842,0.404,85.969,61120,4
Karthik,"Thooriga - From ""Navarasa""",19O4hCGGm95UhvIyhwnNT5,66,0.662,0.688,0,-9.019,1,0.0413,0.0422,0.000918,0.431,0.365,102.95,202136,4
BTS,Make It Right,6KUE0HSSudAp9AOycaF6SH,72,0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766,226321,4
Devan Ekambaram,Ore Nyabagam,0OMBNterYQM7enX1YptNUb,37,0.66,0.152,10,-14.947,1,0.0342,0.801,0.0,0.107,0.69,152.823,113760,1
